photo_id,iiif_manifest_emanuscripta,iiif_image_emanuscripta
image_0150,https://www.e-manuscripta.ch/i3f/v20/2002217/manifest,https://www.e-manuscripta.ch/i3f/v21/2002218/full/304/0/default.jpg
image_0151,https://www.e-manuscripta.ch/i3f/v20/2002222/manifest,https://www.e-manuscripta.ch/i3f/v21/2002223/full/304/0/default.jpg
image_0152,https://www.e-manuscripta.ch/i3f/v20/2002227/manifest,https://www.e-manuscripta.ch/i3f/v21/2002228/full/304/0/default.jpg
image_0153,https://www.e-manuscripta.ch/i3f/v20/2002231/manifest,https://www.e-manuscripta.ch/i3f/v21/2002232/full/304/0/default.jpg
image_0154,https://www.e-manuscripta.ch/i3f/v20/2002236/manifest,https://www.e-manuscripta.ch/i3f/v21/2002237/full/304/0/default.jpg
image_0155,https://www.e-manuscripta.ch/i3f/v20/2002240/manifest,https://www.e-manuscripta.ch/i3f/v21/2002241/full/304/0/default.jpg
image_0156,https://www.e-manuscripta.ch/i3f/v20/2002244/manifest,https://www.e-manuscripta.ch/i3f/v21/2002245/full/304/0/default.jpg
image_0157,https://www.e-manuscripta.ch/i3f/v20/2002249/manifest,https://www.e-manuscripta.ch/i3f/v21/2002250/full/304/0/default.jpg
image_0158,https://www.e-manuscripta.ch/i3f/v20/2002254/manifest,https://www.e-manuscripta.ch/i3f/v21/2002255/full/304/0/default.jpg
image_0159,https://www.e-manuscripta.ch/i3f/v20/2002258/manifest,https://www.e-manuscripta.ch/i3f/v21/2002259/full/304/0/default.jpg
image_0160,https://www.e-manuscripta.ch/i3f/v20/2002263/manifest,https://www.e-manuscripta.ch/i3f/v21/2002264/full/304/0/default.jpg
image_0161,https://www.e-manuscripta.ch/i3f/v20/2002267/manifest,https://www.e-manuscripta.ch/i3f/v21/2002268/full/304/0/default.jpg
image_0162,https://www.e-manuscripta.ch/i3f/v20/1979147/manifest,https://www.e-manuscripta.ch/i3f/v21/1979148/full/304/0/default.jpg
image_0163,https://www.e-manuscripta.ch/i3f/v20/1979151/manifest,https://www.e-manuscripta.ch/i3f/v21/1979152/full/304/0/default.jpg
image_0164,https://www.e-manuscripta.ch/i3f/v20/1979155/manifest,https://www.e-manuscripta.ch/i3f/v21/1979156/full/304/0/default.jpg
image_0165,https://www.e-manuscripta.ch/i3f/v20/1979160/manifest,https://www.e-manuscripta.ch/i3f/v21/1979161/full/304/0/default.jpg
image_0166,https://www.e-manuscripta.ch/i3f/v20/1979164/manifest,https://www.e-manuscripta.ch/i3f/v21/1979165/full/304/0/default.jpg
image_0167,https://www.e-manuscripta.ch/i3f/v20/1979168/manifest,https://www.e-manuscripta.ch/i3f/v21/1979169/full/304/0/default.jpg
image_0168,https://www.e-manuscripta.ch/i3f/v20/1979173/manifest,https://www.e-manuscripta.ch/i3f/v21/1979174/full/304/0/default.jpg
image_0169,https://www.e-manuscripta.ch/i3f/v20/1979177/manifest,https://www.e-manuscripta.ch/i3f/v21/1979178/full/304/0/default.jpg
image_0170,https://www.e-manuscripta.ch/i3f/v20/1979182/manifest,https://www.e-manuscripta.ch/i3f/v21/1979183/full/304/0/default.jpg
image_0171,https://www.e-manuscripta.ch/i3f/v20/1979186/manifest,https://www.e-manuscripta.ch/i3f/v21/1979187/full/304/0/default.jpg
image_0172,https://www.e-manuscripta.ch/i3f/v20/1981516/manifest,https://www.e-manuscripta.ch/i3f/v21/1981517/full/304/0/default.jpg
image_0173,https://www.e-manuscripta.ch/i3f/v20/1981521/manifest,https://www.e-manuscripta.ch/i3f/v21/1981522/full/304/0/default.jpg
image_0174,https://www.e-manuscripta.ch/i3f/v20/1981526/manifest,https://www.e-manuscripta.ch/i3f/v21/1981527/full/304/0/default.jpg
image_0175,https://www.e-manuscripta.ch/i3f/v20/1981530/manifest,https://www.e-manuscripta.ch/i3f/v21/1981531/full/304/0/default.jpg
image_0176,https://www.e-manuscripta.ch/i3f/v20/1981535/manifest,https://www.e-manuscripta.ch/i3f/v21/1981536/full/304/0/default.jpg
image_0177,https://www.e-manuscripta.ch/i3f/v20/1981540/manifest,https://www.e-manuscripta.ch/i3f/v21/1981541/full/304/0/default.jpg
image_0178,,
image_0179,,
image_0180,https://www.e-manuscripta.ch/i3f/v20/1981545/manifest,https://www.e-manuscripta.ch/i3f/v21/1981546/full/304/0/default.jpg
image_0181,https://www.e-manuscripta.ch/i3f/v20/1981549/manifest,https://www.e-manuscripta.ch/i3f/v21/1981550/full/304/0/default.jpg
image_0182,https://www.e-manuscripta.ch/i3f/v20/1981679/manifest,https://www.e-manuscripta.ch/i3f/v21/1981680/full/304/0/default.jpg
image_0183,https://www.e-manuscripta.ch/i3f/v20/1981684/manifest,https://www.e-manuscripta.ch/i3f/v21/1981685/full/304/0/default.jpg
image_0184,https://www.e-manuscripta.ch/i3f/v20/1981689/manifest,https://www.e-manuscripta.ch/i3f/v21/1981690/full/304/0/default.jpg
image_0185,https://www.e-manuscripta.ch/i3f/v20/1981694/manifest,https://www.e-manuscripta.ch/i3f/v21/1981695/full/304/0/default.jpg
image_0186,https://www.e-manuscripta.ch/i3f/v20/1981698/manifest,https://www.e-manuscripta.ch/i3f/v21/1981700/full/304/0/default.jpg
image_0187,https://www.e-manuscripta.ch/i3f/v20/1981703/manifest,https://www.e-manuscripta.ch/i3f/v21/1981704/full/304/0/default.jpg
image_0188,https://www.e-manuscripta.ch/i3f/v20/1981708/manifest,https://www.e-manuscripta.ch/i3f/v21/1981709/full/304/0/default.jpg
image_0189,https://www.e-manuscripta.ch/i3f/v20/1981712/manifest,https://www.e-manuscripta.ch/i3f/v21/1981714/full/304/0/default.jpg
image_0190,https://www.e-manuscripta.ch/i3f/v20/1981717/manifest,https://www.e-manuscripta.ch/i3f/v21/1981718/full/304/0/default.jpg
image_0191,https://www.e-manuscripta.ch/i3f/v20/1981722/manifest,https://www.e-manuscripta.ch/i3f/v21/1981723/full/304/0/default.jpg
image_0192,https://www.e-manuscripta.ch/i3f/v20/1981727/manifest,https://www.e-manuscripta.ch/i3f/v21/1981728/full/304/0/default.jpg
image_0193,https://www.e-manuscripta.ch/i3f/v20/1981733/manifest,https://www.e-manuscripta.ch/i3f/v21/1981734/full/304/0/default.jpg
image_0194,https://www.e-manuscripta.ch/i3f/v20/1981737/manifest,https://www.e-manuscripta.ch/i3f/v21/1981738/full/304/0/default.jpg
image_0195,,
image_0196,https://www.e-manuscripta.ch/i3f/v20/1981741/manifest,https://www.e-manuscripta.ch/i3f/v21/1981742/full/304/0/default.jpg
image_0197,https://www.e-manuscripta.ch/i3f/v20/1981746/manifest,https://www.e-manuscripta.ch/i3f/v21/1981747/full/304/0/default.jpg
image_0198,https://www.e-manuscripta.ch/i3f/v20/1981751/manifest,https://www.e-manuscripta.ch/i3f/v21/1981752/full/304/0/default.jpg
image_0199,https://www.e-manuscripta.ch/i3f/v20/1981756/manifest,https://www.e-manuscripta.ch/i3f/v21/1981757/full/304/0/default.jpg
image_0200,https://www.e-manuscripta.ch/i3f/v20/1981761/manifest,https://www.e-manuscripta.ch/i3f/v21/1981762/full/304/0/default.jpg
image_0201,https://www.e-manuscripta.ch/i3f/v20/1981765/manifest,https://www.e-manuscripta.ch/i3f/v21/1981766/full/304/0/default.jpg
image_0202,https://www.e-manuscripta.ch/i3f/v20/1981770/manifest,https://www.e-manuscripta.ch/i3f/v21/1981771/full/304/0/default.jpg
